Accession Number,Temp ID,Display Title,Display Artist,Creation Date,Media & Support,Credit Line,Current Location,Specific Location,Department,Council District
,2005.005,Lyons Avenue (Untitled),Fletcher Mackey,2005,"Ceramic, Steel, Electronic Sign",,"5602 Lyons Avenue, Houston, TX 77020",Lyons Health Center,HHS,H
,2006.003,Fuego Y Agua,Antonio Briones,2006,Terrazzo,,"6441 High Star Drive, Houston, TX 77074",Southwest Multi-Service Center,HHS,F
,2006.004,Arcadia,Arielle Masson,2006,Image Tempered Composite Glass Panels,,"170 Heights Blvd. Houston, TX 77007",West End Multi-Service Center - Clinic,HHS,H
,2009.008,Sheltering Growth,Koryn Rolstad,2009,"Powder coated aluminum, sheet aluminum, Lexan, and radiant acrylic",,"9720 Spaulding Street, Houston, TX 77016",Northeast Multi-Service Center,HHS,B
2006.002,,Ronald E. McNair,Elena Cusi-Wortham,2007,Photograph on Enameled Photopanels,,"2202 St Emanuel St, Houston, TX 77004",McNair Police Station,HPD,I
2009.003.a,,Beacon,In Plain Sight Art,2009,fused glass and anodized aluminum,," 8300 Mykawa Rd. Houston, Texas, 77033",Southeast Police Station,HPD,D
2009.003.b,,Lumen,In Plain Sight Art,2009,fused glass photo-collage,," 8300 Mykawa Rd. Houston, Texas, 77033",Southeast Police Station,HPD,D
,1966.001,Untitled - 1966,Morio Shinoda,1966,Metal,,"1200 Travis Street, Houston, TX 77002",Police Headquarters,HPD,I
,1990.002,Houston Police Officers' Memorial,Jesús Bautista Moroles,1990,"Granite, Earth, Water",,"18-3600 Allen Parkway Houston, TX 77002",Buffalo Bayou Park  ,HPD,I
,2010.006,Your Loyal Mighties,Sharon Engelstein,2010,"Steel, expanded polystyrene, Glass Fiber Reinforced Concrete (GFRC)",,"5005 Little York Road, Houston, TX 77016",Mounted Patrol Stables and K-9 Training Facility,HPD,B
,2011.006.01,Order Through Law,Gordon Huether,2011,Dye printed photographs on Aluminum,,"7277 Regency Square Boulevard Houston, TX 77036",Midwest Police Station,HPD,J
,2011.006.02,Justice with Mercy,Gordon Huether,2011,Powedercoated steel and stainless steel,,"7277 Regency Square Boulevard Houston, TX 77036",Midwest Police Station,HPD,J
1975.001,,"Geometric Mouse, Scale X",Claes Oldenburg,1971,Painted Steel,Donated Anonymously to the City of Houston,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building Exterior,HPL,I
1981.001,,Total Trust,Ann Armstrong,1981,Bronze,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"8501 West Montgomery Road, Houston, TX 77088",Acres Home Branch Library,HPL,B
1982.001,,Untitled,Josie Mendoza,1982,Paint on Canvas mounted on Board,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"702 Kress Street, Houston, TX 77020",Tuttle Library Branch - Meeting room,HPL,B
